test,ms,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct,stall,cache_stall,hazard_stall,i_cold_miss,i_conflict_miss,i_capacity_miss,d_cold_miss,d_conflict_miss,d_capacity_miss
rv32ui-p-add,3015,0,866,504,94.38,0.00,0,360,0,27,3,0,0,0,0
rv32ui-p-addi,3212,0,535,281,93.05,0.00,0,252,0,18,3,0,0,0,0
rv32ui-p-and,3330,0,875,524,94.77,0.00,0,348,0,26,3,0,0,0,0
rv32ui-p-andi,3244,0,447,237,93.41,0.00,0,204,0,14,3,0,0,0,0
rv32ui-p-auipc,3004,0,248,97,89.47,0.00,0,144,0,9,3,0,0,0,0
rv32ui-p-beq,2948,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0
rv32ui-p-bge,2930,0,653,348,94.22,0.00,0,276,0,20,3,0,0,0,0
rv32ui-p-bgeu,2890,0,689,373,94.33,0.00,0,288,0,21,3,0,0,0,0
rv32ui-p-blt,2843,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0
rv32ui-p-bltu,2952,0,640,355,94.44,0.00,0,264,0,19,3,0,0,0,0
rv32ui-p-bne,2859,0,617,330,94.10,0.00,0,264,0,19,3,0,0,0,0
rv32ui-p-fence_i,2955,0,677,335,96.03,0.00,0,240,0,12,6,0,1,5,0
rv32ui-p-jal,3038,0,245,94,89.19,0.00,0,144,0,9,3,0,0,0,0
rv32ui-p-jalr,2912,0,337,154,92.27,0.00,0,168,0,11,3,0,0,0,0
rv32ui-p-lb,2882,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0
rv32ui-p-lbu,2844,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0
rv32ui-p-ld_st,2911,0,1928,1151,93.31,99.48,149,828,149,65,3,0,1,1,0
rv32ui-p-lh,2998,0,853,311,93.62,0.00,3,540,3,18,3,0,1,23,0
rv32ui-p-lhu,2947,0,862,320,93.79,0.00,3,540,3,18,3,0,1,23,0
rv32ui-p-lui,3122,0,253,104,89.92,0.00,0,144,0,9,3,0,0,0,0
rv32ui-p-lw,2983,0,602,325,93.59,95.83,3,276,3,19,3,0,1,0,0
rv32ui-p-ma_data,2929,0,1070,473,92.63,0.00,54,612,54,29,3,0,2,17,0
rv32ui-p-or,3209,0,889,527,94.61,0.00,0,360,0,27,3,0,0,0,0
rv32ui-p-ori,2963,0,465,244,93.21,0.00,0,216,0,15,3,0,0,0,0
rv32ui-p-sb,2971,0,850,493,94.70,97.10,0,348,0,25,3,0,1,1,0
rv32ui-p-sh,2994,0,949,546,94.84,91.30,0,396,0,27,3,0,1,5,0
rv32ui-p-simple,3020,0,206,80,89.36,0.00,0,120,0,7,3,0,0,0,0
rv32ui-p-sll,3000,0,916,532,94.31,0.00,0,384,0,29,3,0,0,0,0
rv32ui-p-slli,3046,0,534,280,93.02,0.00,0,252,0,18,3,0,0,0,0
rv32ui-p-slt,2902,0,860,498,94.32,0.00,0,360,0,27,3,0,0,0,0
rv32ui-p-slti,2967,0,519,276,93.27,0.00,0,240,0,17,3,0,0,0,0
rv32ui-p-sltiu,2999,0,519,276,93.27,0.00,0,240,0,17,3,0,0,0,0
rv32ui-p-sltu,2984,0,860,498,94.32,0.00,0,360,0,27,3,0,0,0,0
rv32ui-p-sra,2943,0,946,551,94.32,0.00,0,396,0,30,3,0,0,0,0
rv32ui-p-srai,2952,0,549,295,93.35,0.00,0,252,0,18,3,0,0,0,0
rv32ui-p-srl,2928,0,940,545,94.26,0.00,0,396,0,30,3,0,0,0,0
rv32ui-p-srli,3157,0,543,289,93.23,0.00,0,252,0,18,3,0,0,0,0
rv32ui-p-st_ld,3234,0,969,522,92.92,97.96,0,468,0,35,3,0,1,1,0
rv32ui-p-sub,3297,0,847,496,94.49,0.00,0,348,0,26,3,0,0,0,0
rv32ui-p-sw,3150,0,943,553,94.73,97.06,0,384,0,28,3,0,1,1,0
rv32ui-p-xor,3459,0,877,526,94.78,0.00,0,348,0,26,3,0,0,0,0
rv32ui-p-xori,3023,0,467,246,93.26,0.00,0,216,0,15,3,0,0,0,0
